Source Name,Village,Parish,Sub county ,District,GPS Location,Lab Identifier Code,Parameter,Electrical Conductivity,pH ,Turbidity,Color (Apparent),Total Alkalinity ,Total hardness ,Calcium Hardardness ,Flouride,Nitrites ,Sulphate ,Ammonium-N ,Chloride ,Phosphates-P ,Nitrates-N 
Kasowole P/Sch borehole DWD 86267,Bulagala B,Kasowole,Kigumba,Kamuli,36N 510054E,E22/09951,Results,552,6.4,2.1,0.2432,190,156.4,98.8,0.55,0.01,61,0.07,20,0.19,3.65
Namusita Buyima community b/hole DWD 66233,Namusita Buyima,Kasowole,Kigumba,Kamuli,36N ,E22/09952,Results,276,6.1,1.7,0.2432,115,82,47.4,0.52,0.001,15,0.04,3.2,0.14,2.82
Busuna shallow well,Busuna,Nawangaiza,Bulawoli T/C,Kamuli,36N 510908E,E22/09953,Results,230,5.7,2.8,13,37,40.4,23,0.21,0.01,26,0.12,14,0.01,4.37
Namuyinji HC II borehole,Namuyingi,Buswa,Nabiwigulu,Kamuli,36N 511123E,E22/09954,Results,530,6.4,1.9,0.2432,110,166.8,93.6,0.5,0.01,9.4,0.02,72,0.09,3.1
Bulindi shallow well,Bulindi,,Nankulyaku,Kamuli,36N 512469E,E22/09955,Results,129,5.1,2.4,0.2432,14,26.2,13.4,0.23,0.001,18,0.05,0.9,0.01,6.1
Namaganda shallow well,Namaganda Butooli,Namaganda,Kitayundwa,Kamuli,36N 522216E,E22/09958,Results,184,5.4,1.8,0.2432,21,29.4,20.6,0.17,0.001,22,0.02,13,0.05,3.52
Naminage community borehole DWD 28947,Naminage,Kitayundwa,Kitayundwa,Kamuli,36N 520263E,E22/09959,Results,621,6.2,2.1,1,150,238,82,0.4,0.1,39,0.05,48,0.11,29
Kitayundwa community borehole,Kitayundwa,Kitayundwa,Kitayundwa,Kamuli,36N 517950E,E22/09960,Results,576,6.6,1.8,0.2432,240,254.8,188,0.34,0.001,44,0.08,7.2,0.12,8.72
Kitayundwa shallow well,Kitayundwa,Kitayundwa,Kitayundwa,Kamuli,36N 517895E,E22/09961,Results,571,6.5,2.5,4,175,210.2,128.6,0.24,0.01,26,0.01,27,0.01,13
Namisambya shalllow well,Namisambya,Kitayundwa,Northern Div,Kamuli,36N 515772E,E22/09962,Results,131,5.9,1.7,0.2432,16,30.4,21.2,0.1,0.001,6.7,0.27,7.1,0.02,6.12
Namisambya community borehole,Namisambya 2,Businge,Northern Div,Kamuli,36N 515581E,E22/09963,Results,557,5.8,1.8,0.2432,74,146.4,79.2,0.23,0.01,115,0.002,55,0.1,3.2
Bukwenge COU borehole,Bukwenge,Northern Div,Kamuli Municipality,Kamuli,36N 513070E,E22/09964,Results,434,6.2,1.8,0.2432,85,120.4,77.4,0.34,0.001,38,0.18,28,0.19,11
community borehole,Bulyampanga,Nayibowa,Butunsi,Kamuli,36N 510133E,E22/09969,Results,162,6,1.7,0.2432,53,42.4,23.2,0.27,0.01,5.6,0.08,9.2,0.3,2.57
Busobya community borehole,Busobya zone,,Mbulamuti,Kamuli,36N 505754E,E22/09972,Results,161,5.8,1.6,0.2432,52,33.8,20,0.32,0.01,2.2,0.05,4.5,0.1,5.99
