Source Name,Village,Parish,Sub county ,District,GPS Location,Lab Identifier Code,Parameter,Electrical Conductivity,pH ,Turbidity,Color (Apparent),Total Alkalinity ,Total hardness ,Calcium Hardardness ,Flouride,Nitrites ,Sulphate ,Ammonium-N ,Chloride ,Phosphates-P ,Nitrates-N 
Wampologma community b/hole DWD 59654,Wampologoma,,Busana,Kayunga,36N 500569E,E22/09973,Result,220,6.1,1.9,0.2432,100,79,68.8,0.22,0.01,7.8,0.04,1.2,0.08,1.43
Bugonda community b/hole WDD 178,Bugonda,,Busaana,Kayunga,36N 499418E,E22/09974,Result,785,6.8,1.8,0.2432,195,318.4,149,0.8,0.001,80,0.002,73,0.03,0.82
Bugonda shallow well,Bugonda,,BUsaana,Kayunga,36N 500922E,E22/09975,Result,197,5.7,1.8,0.2432,34,44,21.4,0.07,0.001,5.8,0.11,1.7,0.03,16
Buganda borehole,Buganda,Kibazi,Busaana,Kayunga,36N 501106E,E22/09976,Result,756,5.8,1.6,0.2432,60,212.8,112.2,0.15,0.001,91,0.05,124,0.02,5.49
Namirembe village borehole WDD 782,Namirembe,,Busaana,Kayunga,36N 497400E,E22/09977,Result,317,6,1.7,0.2432,99,110.4,53.2,0.42,0.001,1.6,0.06,35,0.05,2.35
Nongo mosque borehole,Nongo,,Kitmbwa,Kayunga,36N 492655E,E22/09978,Result,272,6,2.7,0.2432,110,101.6,69.8,0.24,0.02,2.3,0.15,9.8,0.1,4.13
Budada borehole,Budada,Wabuyija,Kitimbwa,Kayunga,36N 487727E,E22/09979,Result,566,5.8,1.8,1,600,158.6,102.4,0.31,0.001,34,0.05,100,0.17,6.49
Bulawula village b/hole WDD 9128,Bulawula C,Bulawula,Kitmbwa S/C,Kayunga,36N 494850E,E22/09981,Result,271,6.2,1.8,0.2432,130,132.2,61,0.44,0.001,2.6,0.09,1.6,0.13,2.09
Nkokonjeru p/sch borehole,Nkokonjeru,Nkokonjeru ,Kitimbwa,Kayunga,36N 4942223E,E22/09982,Result,260,6,2.2,11,66,74.4,45.8,0.35,0.001,1.1,0.08,28,0.04,6.61
Busaana T/C H/qtrs borehole,Kawuku,Busaana,Busaana,Kayunga,36N 498574E,E22/09983,Result,483,6.4,1.8,0.2432,95,150,89.8,0.38,0.001,16,0.01,44,0.24,20
